Evsahibi,Deplasman,EVG,DEPG,MS,İEG,İDG,İS,ES,DS,EKS,DKS,EF,DF,EK,DK,ESK,DSK,EKK,DKK
Konyaspor,Kasimpasa,3,2,1,0,0,3,10,20,3,6,9,10,3,8,2,6,0,0
Rizespor,Alanyaspor,1,1,3,0,1,2,16,16,8,6,19,17,9,5,4,3,0,0
Sivasspor,Ankaragucu,4,0,1,2,0,1,19,10,8,4,13,12,9,6,1,4,0,0
Besiktas,Trabzonspor,2,2,3,0,1,2,18,14,8,7,16,14,10,8,3,1,0,0
Kayserispor,Akhisar Belediyespor,1,0,1,0,0,3,13,7,5,2,19,8,3,6,2,1,0,0
Yeni Malatyaspor,Antalyaspor,2,0,1,2,0,1,12,8,3,1,16,18,2,2,2,4,1,1
Fenerbahce,Erzurum BB,2,2,3,2,0,1,14,6,5,3,11,17,7,1,0,3,0,0
Alanyaspor,Buyuksehyr,1,1,3,0,1,2,13,12,7,6,13,12,1,3,3,2,1,0
Ankaragucu,Goztep,0,3,2,0,0,3,13,11,1,4,16,18,4,3,2,1,0,0
Kasimpasa,Besiktas,4,1,1,2,0,1,12,16,7,6,14,15,4,3,3,3,0,0
Bursaspor,Yeni Malatyaspor,1,1,3,1,0,1,8,4,2,1,13,11,5,1,1,3,0,1
Erzurum BB,Kayserispor,1,1,3,1,1,3,20,7,5,3,14,12,5,3,2,6,0,0
Galatasaray,Sivasspor,4,2,1,2,2,3,15,16,5,7,18,4,7,5,2,2,0,0
Trabzonspor,Rizespor,4,1,1,1,0,1,18,13,5,6,18,9,6,4,4,2,0,0
Akhisar Belediyespor,Konyaspor,0,0,3,0,0,3,8,10,3,3,14,15,0,4,3,3,0,0
Antalyaspor,Fenerbahce,0,0,3,0,0,3,7,19,3,6,12,11,2,9,1,4,0,1
